01-01	Neujahr, Maria
01-02	Makarius, Gregor, Otfried, Dietmar
01-03	Genoveva, Odilo, Irma
01-04	Angelika, Christiane
01-05	Emilia, Johann Nep.
01-06	Heilige 3 Könige, Raimund
01-07	Reinhold, Valentin
01-08	Severin, Erhard, Gudula, Heiko
01-09	Adrian, Julian, Alice
01-10	Paul Eins., Leonie
01-11	Thomas v.C.
01-12	Ernst, Tatjana, Xenia
01-13	Jutta, Hilmar, Hilarius
01-14	Rainer, Felix, Engelmar
01-15	Arnold, Romedius, Mauro, Arno
01-16	Marcel, Tilman, Dietwald, Uli
01-17	Anton Eins., Rosalind
01-18	Margitta, Ulfried, Uwe
01-19	Mario, Pia, Martha
01-20	Fabian, Sebastian, Ursula
01-21	Agnes, Meinrad, Ines
01-22	Vinzenz, Dietlinde, Jana
01-23	Hartmut, Emerentia, Guido
01-24	Franz v. S., Vera, Thurid, Bernd
01-25	Pauli Bekehrung., Wolfram
01-26	Timotheus u. Titus, Paula
01-27	Angela, Alrun, Gerd
01-28	Manfred, Thomas v. A., Karl, Karolina
01-29	Gerhard, Gerd, Josef Fr.
01-30	Martina, Adelgunde
01-31	Johannes B., Marcella, Rudbert
02-01	Brigitta, Brigitte, Reginald, Barbara
02-02	Mariä Lichtmess, Bodo, Stephan
02-03	Blasius, Ansgar, Oskar, Michael
02-04	Andreas C., Veronika, Jenny
02-05	Agatha, Albuin
02-06	Dorothea, Doris, Paul M.
02-07	Richard, Ava, Ronan
02-08	Elfrieda, Hieronymus. Philipp
02-09	Apollonia, Anne-Kathrin, Anna, Katharina
02-10	Scholastika, Siegmar, Bruno
02-11	Maria Lourdes, Theodora, Theodor
02-12	Benedikt, Eulalia
02-13	Christina, Irmhild, Adolf, Gisela
02-14	Valentin, Cyrill, Method
02-15	Siegfried, Jovita, Georgia
02-16	Juliana, Liane
02-17	Alexis, Benignus
02-18	Constanze, Simon, Simone
02-19	Irmgard, Irma, Hedwig
02-20	Corona, Falko, Jacinta
02-21	Petrus D., Gunhild, Enrica, Peter
02-22	Petri Stuhlfeier, Isabella, Pit
02-23	Romana, Raffaela, Polyk.
02-24	Matthias
02-25	Walburga, Edeltraud
02-26	Gerlinde, Ottokar, Edigna, Denis, Mechthild
02-27	Gabriel, Marko, Baldur
02-28	Roman, Silvana, Oswald, Detlev
02-29	Schalttag, Oswald
03-01	Albin, Roger, Leontina
03-02	Volker, Agnes, Karl
03-03	Kunigunde, Camilla, Leif, Friedrich
03-04	Kasimir, Edwin, Humbert
03-05	Gerda, Olivia, Dietmar, Tim
03-06	Fridolin, Nicola, Rosa, Nicole
03-07	Reinhard, Felicitas, Perpet., Volker
03-08	Johannes v.G., Gerhard
03-09	Franziska, Bruno, Barbara, Dominik
03-10	Emil, Gustav, 40 Märtyrer
03-11	Rosina, Alram, Ulrich
03-12	Beatrix, Almut, Serafina
03-13	Judith, Pauline, Leander
03-14	Mathilde, Eva, Evelyn
03-15	Klemens, Louise
03-16	Herbert, Rüdiger
03-17	Gertrud, Gertraud, Patrick
03-18	Edward, Sibylle, Cyrill
03-19	Josef, Josefa, Josefine
03-20	Claudia, Wolfram
03-21	Christian, Axel, Emilia
03-22	Lea, Elmar, Reinhilde
03-23	Otto, Rebekka, Toribio
03-24	Karin, Elias, Heidelinde
03-25	Verkündigung d. Herrn, Lucia
03-26	Ludger, Manuel, Manuela, Lara
03-27	Augusta, Heimo, Ernst
03-28	Guntram, Ingbert, Willy
03-29	Helmut, Ludolf, Berthold
03-30	Amadeus, Diemut
03-31	Cornelia, Conny, Nelly, Ben
04-01	Irene, Irina, Hugo
04-02	Franz v.P., Mirjam, Sandra, Frank
04-03	Richard, Lisa
04-04	Isidor, Konrad, Kurt
04-05	Crescentia, Vinzenz F., Juliane
04-06	Sixtus, William
04-07	Ralph, Johann Baptist
04-08	Walter, Beate, Rose-Marie
04-09	Waltraud, Casilda, Hugo
04-10	Gernot, Holda, Ezechiel, Engelbert
04-11	Stanislaus, Hildebrand, Reiner
04-12	Herta, Julius, Zeno
04-13	Ida, Hermenegild, Gilda, Martin
04-14	Ernestine, Erna, Elmo
04-15	Anastasia, Una, Damian
04-16	Bernadette, Magnus, Joachim
04-17	Eberhard, Wanda, Isadora, Max
04-18	Werner, Wigbert
04-19	Gerold, Emma, Leo, Timo
04-20	Odetta, Hildegund
04-21	Alexandra, Anselm
04-22	Alfred, Kaj, Leonidas
04-23	Georg, Jörg, Jürgen
04-24	Wilfried, Egbert, Virginia, Marion
04-25	Markus Ev., Erwin
04-26	Helene, Consuela
04-27	Zita, Petrus C, Montserrat
04-28	Hugo, Pierre, Ludwig
04-29	Katharina v.S., Roswitha, Katja
04-30	Pauline, Silvio, Pius V.
05-01	Josef d. Arbeiter, Arnold
05-02	Siegmund, Boris, Zoë
05-03	Philipp u. Jakob, Viola, Alexander
05-04	Florian, Guido, Valeria
05-05	Gotthard, Sigrid, Jutta
05-06	Gundula, Antonia, Britto
05-07	Gisela, Silke, Notker, Helga
05-08	Ida, Ulrike, Ulla, Klara
05-09	Beat, Caroline, Volkmar, Theresia
05-10	Isidor, Gordian, Liliana, Damian de Veuster
05-11	Joachim, Mamertus
05-12	Pankratius, Imelda, Joana
05-13	Servatius, Rolanda
05-14	Bonifatius, Ismar, Pascal, Christian
05-15	Sophie, Sonja, Hertraud
05-16	Johann Nepomuk, Adolf
05-17	Dietmar, Pascal,Antonella
05-18	Erich, Erika, Johannes I., Felix
05-19	Ivo, Yvonne, Kuno
05-20	Bernhardin, Elfriede,Mira
05-21	Hermann, Wiltrud, Konst.
05-22	Julia, Rita, Ortwin, Renate
05-23	Renate, Désirée, Alma
05-24	Dagmar, Esther
05-25	Urban, Beda, Magdalene, Miriam
05-26	Marianne, Philipp N.
05-27	August, Bruno, Randolph
05-28	Wilhelm, German
05-29	Erwin, Irmtraud, Maximin
05-30	Ferdinand, Johanna
05-31	Petra, Mechthild, Helma
06-01	Simeon, Silka, Silvana
06-02	Armin, Erasmus, Blandina
06-03	Karl, Silvia, Hildburg, Karoline
06-04	Christa, Klothilde, Iona, Eva
06-05	Winfried Bonifatius, Erika
06-06	Norbert, Bertrand, Kevin, Alice
06-07	Robert, Gottlieb, Anita
06-08	Medardus, Elga, Chlodwig
06-09	Grazia, Annamaria, Ephr., Diana
06-10	Diana, Heinrich, Heinz, Olivia
06-11	Paula, Barnabas, Alice, Udo
06-12	Guido, Leo III., Florinda
06-13	Antonius v.P., Bernhard
06-14	Hartwig, Meinrad
06-15	Veit, Lothar, Gebhard, Bernhard
06-16	Benno, Luitgard, Quirin, Julietta
06-17	Adolf, Volker, Alena
06-18	Elisabeth, Ilsa, Marina, Isabella
06-19	Juliana, Romuald
06-20	Adalbert, Florentina, Margot
06-21	Alois, Aloisia, Alban, Ralf
06-22	Rotraud, Thomas M.
06-23	Edeltraud, Ortrud, Marion
06-24	Johannes d.T., Reingard
06-25	Eleonora, Ella, Dorothea, Doris
